ticket,area,direccion_entidad,Seccion,Manzana,Parcela,fecha_inspeccion
DGFyC-635018,SGO Fiscalización Nocturna,JUNCAL 2102,11,46,001c,13/02/2021
DGFyC-634005,SGO Fiscalización Crítica,BOEDO AV. 825,36,128,38,13/02/2021
DGFyC-633623,SGO Fiscalización Nocturna,RIVADAVIA AV. 7523,65,10,14,14/02/2021
DGFyC-634085,SGO Fiscalización Nocturna,HONDURAS 5799,35,32,22,14/02/2021
DGFyC-635089,SGO Eventos Deportivos,RIVADAVIA AV. 6501,65,120A,027a,13/02/2021
DGFyC-629564,SGO Inspecciones simples,LAPLACE 3230,81,158A,8,17/02/2021
DGFyC-579123,SGO Inspecciones simples,BULNES 2053,15,014C,014A,10/02/2021
DGFyC-623480,SGO Est. Hoteles y Pensiones,BAHIA BLANCA 203,77,108,24,10/02/2021
DGFyC-633091,SGO Fiscalización Nocturna,SERRANO 958,31,56,30,10/02/2021
DGFyC-632994,SGO Fiscalización Nocturna,GORRITI 4015,19,26,27,09/02/2021
DGFyC-633049,SGO Fiscalización Nocturna,URIARTE 1438,19,20,29,10/02/2021
DGFyC-632955,SGO Inspecciones simples,TUCUMAN 829,1,007A,028A,10/02/2021
DGFyC-624818,SGO Fiscalización Nocturna,LOYOLA 701,31,55,25,09/02/2021
DGFyC-633681,Auditorias Integrales Programadas,MONTES DE OCA AV. 898,10,14,15,08/02/2021
DGFyC-611952,SGO Fiscalización Nocturna,AGUIRRE 489,31,39,17,10/02/2021
DGFyC-475178,SGO Inspecciones simples,BELGRANO AV. 3205,28,30,24,10/02/2021
DGFyC-624393,SGO Verificaciones,NOGOYA 5450,93,171A,5,10/02/2021
DGFyC-498095,SGO Inspecciones simples,MONTEVIDEO 1013,7,29,21,10/02/2021
DGFyC-631972,SGO Grandes Superficies,RIGLOS 549,40,50,25,11/02/2021
DGFyC-633055,SGO Inspecciones simples,LAVALLE 2315,,,,11/02/2021
DGFyC-634241,SGO Fiscalización Nocturna,DARWIN 1347,31,117,2,11/02/2021
DGFyC-630857,SGO Grandes Superficies,CAMARGO 865,47,175,16,10/02/2021
DGFyC-588932,SGO Est. Salud y Geriátricos,CORVALAN 475,60,61,027c,10/02/2021
DGFyC-632996,SGO Fiscalización Nocturna,GORRITI 4116,19,9,2,09/02/2021
DGFyC-632891,SGO Fiscalización Crítica,GUARDIA VIEJA 3801,17,108,33,12/02/2021
DGFyC-599146,SGO Grandes Superficies,SUIPACHA 937,3,27,17,17/02/2021
DGFyC-635006,SGO Fiscalización Nocturna,RIVADAVIA AV. 8451,77,89,001A,13/02/2021
DGFyC-634013,SGO Fiscalización Crítica,MAZA 457,28,4,45,13/02/2021
DGFyC-370202,SGO Verificaciones,LA PAMPA 2547,39,88,10,12/02/2021
DGFyC-634691,SGO Fiscalización Nocturna,BONPLAND 1392,33,069C,17,12/02/2021
DGFyC-634705,SGO Fiscalización Nocturna,SALTA 1440,14,52,003a,12/02/2021
DGFyC-634199,SGO Fiscalización Crítica,DOBLAS 381,40,116,34,14/02/2021
DGFyC-635217,SGO Fiscalización Nocturna,SAN PEDRITO AV. 196,48,52,21,15/02/2021
DGFyC-633487,SGO Fiscalización Nocturna,RIVADAVIA AV. 10919,95,27,27,16/02/2021
DGFyC-529154,SGO Inspecciones simples,BONPLAND 2391,35,113,010A,17/02/2021
DGFyC-634410,SGO Grandes Superficies,AZUL 928,54,186,9,17/02/2021
DGFyC-632370,SGO Fiscalización Crítica,RIOBAMBA 1046,11,71,25,12/02/2021
DGFyC-633904,SGO Fiscalización Nocturna,THAMES 1795,19,068B,10,13/02/2021
DGFyC-634895,SGO Est. Educativos,CORRIENTES AV. 1994,9,69,12,17/02/2021
DGFyC-633914,SGO Est. Hoteles y Pensiones,PASCO 678,20,44,20,17/02/2021
DGFyC-615328,SGO Suspensiones y Rechazos,CALLAO AV. 1043,7,3,16,17/02/2021
DGFyC-635392,SGO Fiscalización Crítica,BELGRANO AV. 3383,28,22,25,16/02/2021
DGFyC-635462,SGO Verificaciones,BOGOTA 2936,65,23,4,17/02/2021
DGFyC-633961,SGO Fiscalización Nocturna,RIVADAVIA AV. 8100,54,172,018A,14/02/2021
DGFyC-634630,SGO Fiscalización Nocturna,HONDURAS AV. 4184,19,26,004D,14/02/2021
DGFyC-631935,SGO Inspecciones simples,CONDARCO 1571,67,66,15,17/02/2021
DGFyC-298736,SGO Inspecciones simples,ESMERALDA 879,3,34,14,17/02/2021
DGFyC-635173,SGO Eventos Deportivos,SANTA FE AV 3211,,,,14/02/2021
DGFyC-635489,SGO Verificaciones,BOGOTA 2936,65,23,4,17/02/2021
DGFyC-583954,SGO Inspecciones simples,GUATEMALA 5524,35,85,003A,17/02/2021
DGFyC-635305,SGO Fiscalización Nocturna,RIVADAVIA AV. 7523,65,10,14,16/02/2021
DGFyC-606222,SGO Est. Hoteles y Pensiones,BOYACA 943,57,12,15,17/02/2021
DGFyC-634803,SGO Fiscalización Crítica,SALAS 323,40,091A,021A,16/02/2021
DGFyC-604306,SGO Inspecciones simples,NAZARRE 3601,81,115,28,11/02/2021
DGFyC-635394,SGO Fiscalización Nocturna,MEXICO 1558,12,17,8,16/02/2021
DGFyC-635411,SGO Fiscalización Nocturna,ZELAYA 3185,13,62,24,17/02/2021
DGFyC-634794,SGO Est. Hoteles y Pensiones,SAN BLAS 3265,79,142,28,19/02/2021
DGFyC-634343,SGO Inspecciones simples,PUEYRREDON AV. 451,9,5,7,19/02/2021
DGFyC-628517,SGO Inspecciones simples,PUMACAHUA 985,42,1,10,19/02/2021
DGFyC-626947,SGO Inspecciones simples,BARCO CENTENERA del 2059,,,,19/02/2021
DGFyC-636161,Auditorias Integrales Programadas,VEDIA 3626,,,,18/02/2021
DGFyC-521729,SGO Inspecciones simples,CHARCAS 3142,15,045B,004A,18/02/2021
DGFyC-522101,SGO Inspecciones simples,BAUNESS 2201,51,48,015E,18/02/2021
DGFyC-633584,SGO Inspecciones simples,DIAZ VELEZ AV. 4511,45,150,22,18/02/2021
DGFyC-633466,SGO Est. Hoteles y Pensiones,ROCHA 1460,10,31,5,18/02/2021
DGFyC-635648,SGO Fiscalización Nocturna,ARAOZ 2424,19,167,22,20/02/2021
DGFyC-623587,SGO Est. Hoteles y Pensiones,BRASIL 1327,16,45,30,18/02/2021
DGFyC-635818,SGO Fiscalización Crítica,RIVADAVIA AV. 7518,48,24,3,17/02/2021
DGFyC-635813,SGO Inspecciones simples,SALTA 1706,16,61,007b,17/02/2021
DGFyC-634533,SGO Fiscalización Nocturna,AVENIDA DE MAYO 639,2,27,002A,17/02/2021
DGFyC-621078,SGO Verificaciones,MALABIA 1653,19,48,15,17/02/2021
DGFyC-631939,SGO Est. Hoteles y Pensiones,BULNES 1247,15,1,18,17/02/2021
DGFyC-635402,SGO Fiscalización Nocturna,RIVADAVIA AV. 3475,13,23,16,17/02/2021
DGFyC-272456,SGO Est. Deportivos,AGUERO 1215,15,102,18,19/02/2021
DGFyC-616517,SGO Inspecciones simples,BLANCO ENCALADA 2962,39,65,004B,18/02/2021
DGFyC-451193,SGO Inspecciones simples,RIVADAVIA AV. 10885,95,27,31,19/02/2021
DGFyC-635755,SGO Fiscalización Nocturna,OTAMENDI 61,45,125,14,19/02/2021
DGFyC-635486,SGO Fiscalización Nocturna,MEXICO 1545,12,18,19,18/02/2021
DGFyC-620667,SGO Fiscalización Nocturna,PEÑA 2831,15,72,25,19/02/2021
DGFyC-634734,SGO Suspensiones y Rechazos,LAVALLE 959,5,72,026A,19/02/2021
DGFyC-591593,SGO Verificaciones,GAONA AV. 1682,57,109,006D,19/02/2021
DGFyC-607206,SGO Verificaciones,RIVADAVIA AV. 10701,95,29,38,19/02/2021
DGFyC-634982,SGO Verificaciones,HUMBOLDT 2393,35,111,9,19/02/2021
DGFyC-636157,Auditorias Integrales Programadas,HUMBERTO 1° 2807,30,84,38,18/02/2021
DGFyC-632384,SGO Inspecciones simples,LA RIOJA 1981,32,103,35,22/02/2021
DGFyC-636473,SGO Fiscalización Nocturna,JUNIN 389,9,61,014A,19/02/2021
DGFyC-636489,SGO Fiscalización Nocturna,SARMIENTO 1728,5,3,3,20/02/2021
DGFyC-633539,SGO Inspecciones simples,MOLINA 1385,72,022B,024A,22/02/2021
DGFyC-635543,SGO Eventos Deportivos,CHILE 424,2,37,3,16/02/2021
DGFyC-624857,SGO Inspecciones simples,EL SALVADOR 3917,19,58,32,18/02/2021
DGFyC-491104,SGO Fiscalización Crítica,MOSCONI GENERAL AV. 2749,73,39,27,17/02/2021
DGFyC-633597,SGO Inspecciones simples,DIAZ VELEZ AV. 5225,45,76,26,18/02/2021
DGFyC-604190,SGO Verificaciones,PATAGONES 2914,24,10,2,18/02/2021
DGFyC-633709,SGO Fiscalización Crítica,TALCAHUANO 949,7,45,12,17/02/2021
DGFyC-635474,SGO Fiscalización Nocturna,RIVADAVIA AV. 3691,13,1,16,18/02/2021
DGFyC-633594,SGO Est. Hoteles y Pensiones,LIBERTAD 1224,7,48,42,18/02/2021
DGFyC-636478,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 7395,27,145,000M,19/02/2021
DGFyC-636497,SGO Fiscalización Nocturna,HUMBERTO 1° 699,4,16,022A,20/02/2021
DGFyC-323842,SGO Inspecciones simples,DIAZ VELEZ AV. 5167,45,87,22,22/02/2021
DGFyC-635584,SGO Fiscalización Nocturna,DE LOS CONSTITUYENTES AV. 3552,61,132B,1,21/02/2021
DGFyC-636584,SGO Fiscalización Crítica,DIAZ VELEZ AV. 5298,45,75,009f,20/02/2021
DGFyC-636601,SGO Fiscalización Nocturna,BALCARCE 563,2,48,18,21/02/2021
DGFyC-634763,SGO Est. Hoteles y Pensiones,SAN BLAS 2564,67,81,18,22/02/2021
DGFyC-617682,SGO Verificaciones,MOSCONI GENERAL AV. 2511,73,55,036A,22/02/2021
DGFyC-356070,SGO Inspecciones simples,RIVADAVIA AV. 1719,5,1,013C,23/02/2021
DGFyC-626583,SGO Inspecciones simples,CORRIENTES AV. 1444,5,30,004A,23/02/2021
DGFyC-367638,SGO Inspecciones simples,IGUAZU 775,32,78,34,23/02/2021
DGFyC-635548,SGO Fiscalización Crítica,BULNES 893,13,8,14,22/02/2021
DGFyC-613034,SGO Fiscalización Crítica,ECUADOR 1175,15,133,011A,22/02/2021
DGFyC-636837,Auditorias Integrales Programadas,BELGRANO AV. 3400,28,21,13,23/02/2021
DGFyC-635810,SGO Est. Hoteles y Pensiones,CAMPICHUELO 226,45,103B,30,23/02/2021
DGFyC-619566,SGO Verificaciones,QUITO 3814,36,98,2,23/02/2021
DGFyC-636657,SGO Fiscalización Nocturna,ANGACO 4200,,,,23/02/2021
DGFyC-636788,SGO Fiscalización Nocturna,CHACABUCO 874,4,18,019A,23/02/2021
DGFyC-633529,SGO Inspecciones simples,GASCON 381,17,67,7,19/02/2021
DGFyC-577387,SGO Fiscalización Crítica,ECHEANDIA 4188,56,53,9,18/02/2021
DGFyC-636040,SGO Inspecciones simples,CRAMER 2197,39,70,006D,19/02/2021
DGFyC-565420,SGO Inspecciones simples,THAMES 660,31,21,20,19/02/2021
DGFyC-634564,SGO Grandes Superficies,SIMBRON 5648,93,141,005C,19/02/2021
DGFyC-634718,SGO Est. Hoteles y Pensiones,CHACABUCO 724,2,19,15,19/02/2021
DGFyC-609112,SGO Inspecciones simples,OCEANIA 1911,44,119B,023A,19/02/2021
DGFyC-601244,SGO Verificaciones,GUARDIA NACIONAL 92,60,106,8,19/02/2021
DGFyC-633798,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 4103,23,135,000A,09/02/2021
DGFyC-633817,SGO Fiscalización Nocturna,COSTA RICA 5827,35,061A,26,10/02/2021
DGFyC-633848,Auditorias Integrales Programadas,CORRIENTES AV. 1658,5,12,009a,09/02/2021
DGFyC-636254,SGO Est. Educativos,BERMUDEZ 2112,87,031A,2,18/02/2021
DGFyC-632309,SGO Verificaciones,LA PAMPA 731,25,113,27,11/02/2021
DGFyC-633898,SGO Verificaciones,GALLARDO 1102,93,43,1,10/02/2021
DGFyC-633918,Auditorias Integrales Programadas,RINCON 205,20,48,1,09/02/2021
DGFyC-499955,SGO Inspecciones simples,ALVAREZ JONTE AV. 5499,93,166A,021C,11/02/2021
DGFyC-635179,SGO Eventos Deportivos,JURAMENTO AV. 2360,25,003A,002a,14/02/2021
DGFyC-633987,SGO Fiscalización Nocturna,IBERA 2432,41,157,4,15/02/2021
DGFyC-635212,SGO Fiscalización Nocturna,AVENIDA LA PLATA 731,40,141,038e,14/02/2021
DGFyC-626705,SGO Fiscalización Crítica,EL SALVADOR 4947,,,,15/02/2021
DGFyC-472288,SGO Inspecciones simples,CHARCAS 4245,19,155,021C,17/02/2021
DGFyC-635296,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 7395,27,145,000M,15/02/2021
DGFyC-636611,SGO Fiscalización Nocturna,ESTADOS UNIDOS 758,4,11,5,21/02/2021
DGFyC-635693,SGO Fiscalización Nocturna,BOEDO AV. 440,28,3,008A,22/02/2021
DGFyC-623178,SGO Fiscalización Nocturna,CABILDO AV. 548,,,,22/02/2021
DGFyC-597423,SGO Est. Hoteles y Pensiones,PARAGUAY 2561,15,133,24,22/02/2021
DGFyC-623157,SGO Est. Hoteles y Pensiones,MEXICO 2233,20,37,029a,22/02/2021
DGFyC-636331,SGO Suspensiones y Rechazos,SAN LUIS 2599,9,24,14,21/02/2021
DGFyC-633816,SGO Fiscalización Nocturna,ARMENIA 1439,19,15,21,10/02/2021
DGFyC-632308,SGO Verificaciones,LA PAMPA 731,25,113,27,11/02/2021
DGFyC-624446,SGO Verificaciones,CARRASCO AV. 23,77,44,013G,11/02/2021
DGFyC-633821,Auditorias Integrales Programadas,VIAMONTE 336,1,47,003a,11/02/2021
DGFyC-629079,SGO Inspecciones simples,GORRITI 3801,19,24,30,11/02/2021
DGFyC-634557,SGO Fiscalización Nocturna,BRASIL 399,,,,17/02/2021
DGFyC-633857,SGO Verificaciones,MALABIA 1341,31,104,8,17/02/2021
DGFyC-631702,SGO Est. Hoteles y Pensiones,GASCON 1271,19,8,017B,17/02/2021
DGFyC-635400,SGO Fiscalización Nocturna,ECUADOR 60,13,76,17,17/02/2021
DGFyC-635417,SGO Fiscalización Nocturna,ESMERALDA 938,3,27,027e,17/02/2021
DGFyC-453110,SGO Est. Hoteles y Pensiones,BULNES 948,17,108,36,17/02/2021
DGFyC-633058,SGO Suspensiones y Rechazos,FLORIDA 122,1,018B,14,11/02/2021
DGFyC-617428,SGO Grandes Superficies,MONTIEL 1278,72,42,29,11/02/2021
DGFyC-631127,SGO Grandes Superficies,TERRERO 1139,59,33,15,11/02/2021
DGFyC-633633,SGO Fiscalización Nocturna,JUJUY AV. 536,20,2,020B,11/02/2021
DGFyC-633643,SGO Fiscalización Nocturna,RIVADAVIA AV. 2099,9,58,20,11/02/2021
DGFyC-633063,SGO Inspecciones simples,LAVALLE 2404,9,29,1,11/02/2021
DGFyC-626952,SGO Est. Hoteles y Pensiones,CALLAO AV. 164,9,75,43,11/02/2021
DGFyC-632758,SGO Verificaciones,ESTADOS UNIDOS 1741,14,10,27,11/02/2021
DGFyC-634234,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 4103,23,135,000A,10/02/2021
DGFyC-634249,SGO Fiscalización Nocturna,GAONA AV. 3302,65,50,1,11/02/2021
DGFyC-634255,SGO Est. Educativos,CRAMER 1222,37,111,003B,10/02/2021
DGFyC-526061,SGO Inspecciones simples,WARNES AV. 922,47,69,022A,11/02/2021
DGFyC-633645,SGO Fiscalización Nocturna,RIVADAVIA AV. 2014,20,58,2,11/02/2021
DGFyC-634247,SGO Fiscalización Nocturna,COSTA RICA 5673,35,59,17,11/02/2021
DGFyC-354463,SGO Inspecciones simples,LAVALLE 2303,9,39,031A,11/02/2021
DGFyC-634246,SGO Fiscalización Nocturna,THAMES 1335,31,112,11,11/02/2021
DGFyC-633065,SGO Inspecciones simples,LAVALLE 2266,9,46,7,11/02/2021
DGFyC-445695,SGO Est. Deportivos,RODRIGUEZ PEÑA 1062,7,3,024c,12/02/2021
DGFyC-635712,SGO Inspecciones simples,SALTA 1750,16,61,016a,17/02/2021
DGFyC-634775,SGO Fiscalización Nocturna,BILLINGHURST 1111,15,41,17,18/02/2021
DGFyC-634359,SGO Suspensiones y Rechazos,BOLIVAR 1519,8,44,24,18/02/2021
DGFyC-630626,SGO Fiscalización Nocturna,PARAGUAY 499,3,54,19,18/02/2021
DGFyC-635844,SGO Fiscalización Nocturna,MEXICO 1176,12,51,9,18/02/2021
DGFyC-634509,SGO Grandes Superficies,TACUARI 150,2,7,009a,18/02/2021
DGFyC-341886,SGO Inspecciones simples,HONDURAS AV. 4055,19,42,30,18/02/2021
DGFyC-635679,SGO Fiscalización Nocturna,ZELAYA 3185,13,62,24,17/02/2021
DGFyC-616069,SGO Inspecciones simples,DIAZ VELEZ AV. 5035,45,99,021A,18/02/2021
DGFyC-635513,SGO Fiscalización Nocturna,SOLER 4499,19,105,16,18/02/2021
DGFyC-632432,SGO Grandes Superficies,TUNEZ 2511,27,057A,11,12/02/2021
DGFyC-634489,Auditorias Integrales Programadas,SANABRIA 3320,81,13,002A,11/02/2021
DGFyC-600384,SGO Inspecciones simples,OLIDEN 4200,80,120,022D,12/02/2021
DGFyC-632391,SGO Grandes Superficies,ROJAS 2137,47,36,9,12/02/2021
DGFyC-601878,SGO Grandes Superficies,ARTILLEROS 2052,25,83,25,12/02/2021
DGFyC-631181,SGO Grandes Superficies,OLAVARRIA 2043,18,114,20,12/02/2021
DGFyC-627868,SGO Fiscalización Crítica,MEDRANO 99,17,86,11,11/02/2021
DGFyC-633523,SGO Suspensiones y Rechazos,BELGRANO AV. 1612,12,12,2,12/02/2021
DGFyC-538556,SGO Suspensiones y Rechazos,LA PAMPA 2669,39,81,10,12/02/2021
DGFyC-634259,SGO Inspecciones simples,ROSARIO 472,40,87,8,12/02/2021
DGFyC-619552,SGO Verificaciones,LA PAMPA 2290,23,061A,2,12/02/2021
DGFyC-362746,SGO Inspecciones simples,RUIZ HUIDOBRO 3031,43,100,24,12/02/2021
DGFyC-631773,SGO Inspecciones simples,VERA 1047,31,21,013A,12/02/2021
DGFyC-611348,SGO Suspensiones y Rechazos,PASEO COLON AV. 1155,4,40,14,18/02/2021
DGFyC-369786,SGO Est. Hoteles y Pensiones,SARMIENTO 3466,13,37,9,18/02/2021
DGFyC-635842,SGO Fiscalización Nocturna,HUMBERTO 1° 699,4,16,022A,18/02/2021
DGFyC-633401,SGO Fiscalización Nocturna,ARAOZ 1019,31,88,12,12/02/2021
DGFyC-626444,SGO Inspecciones simples,NEUQUEN 1160,57,94,001B,12/02/2021
DGFyC-634725,SGO Est. Educativos,ZAPIOLA 1680,37,93,004A,11/02/2021
DGFyC-636739,Auditorias Integrales Programadas,VEDIA 3626,,,,19/02/2021
DGFyC-398427,SGO Inspecciones simples,ACASSUSO 5952,60,8,18,19/02/2021
DGFyC-593135,SGO Inspecciones simples,URDANETA 44,95,30,26,19/02/2021
DGFyC-634777,SGO Est. Educativos,MEXICO 1743,12,3,23,11/02/2021
DGFyC-633845,SGO Fiscalización Crítica,SANCHEZ DE BUSTAMANTE 1470,15,44,001d,12/02/2021
DGFyC-634119,SGO Fiscalización Crítica,RIOBAMBA 143,9,75,019A,12/02/2021
DGFyC-634090,SGO Grandes Superficies,RIVADAVIA AV. 3011,13,76,014D,17/02/2021
DGFyC-629243,SGO Fiscalización Nocturna,CABILDO AV. 4665,29,10,10,12/02/2021
DGFyC-620499,SGO Fiscalización Nocturna,CORDOBA AV. 5509,33,67,21,13/02/2021
DGFyC-595969,SGO Inspecciones simples,RIVADAVIA AV. 11206,72,87,001e,19/02/2021
DGFyC-634736,SGO Est. Salud y Geriátricos,MOCTEZUMA 1010,85,77,31,19/02/2021
DGFyC-430211,SGO Fiscalización Nocturna,GODOY CRUZ 1817,,,,19/02/2021
DGFyC-634746,SGO Suspensiones y Rechazos,SAN MARTIN 473,1,37,009A,19/02/2021
DGFyC-634964,SGO Verificaciones,RIVADAVIA AV. 1699,5,9,021A,19/02/2021
DGFyC-636159,Auditorias Integrales Programadas,VEDIA 3626,,,,18/02/2021
DGFyC-636196,SGO Eventos Masivos,AVENIDA DEL LIBERTADOR 4103,23,135,000A,18/02/2021
DGFyC-623592,SGO Est. Hoteles y Pensiones,LAVALLE 733,1,14,24,12/02/2021
DGFyC-598696,SGO Inspecciones simples,RAMALLO 3450,43,62,6,12/02/2021
DGFyC-633279,SGO Fiscalización Nocturna,RIOBAMBA 882,11,69,0,12/02/2021
DGFyC-634704,SGO Fiscalización Nocturna,ENTRE RIOS AV. 118,12,7,015A,12/02/2021
DGFyC-635009,SGO Fiscalización Nocturna,HONDURAS 5670,35,17,9,13/02/2021
DGFyC-619291,SGO Fiscalización Crítica,SAN JUAN AV. 542,4,20,4,13/02/2021
DGFyC-634143,SGO Fiscalización Nocturna,CORDOBA AV. 3271,15,59,18,13/02/2021
DGFyC-490241,SGO Inspecciones simples,IBARROLA 7298,72,14,11,17/02/2021
DGFyC-315029,SGO Inspecciones simples,FRAY JUSTO SANTA MARIA DE ORO 3069,21,93,2,17/02/2021
DGFyC-619155,SGO Inspecciones simples,CABELLO 3701,21,64,25,17/02/2021
DGFyC-635141,SGO Eventos Masivos,CERVIÑO AV. 4476,,,,13/02/2021
DGFyC-634220,SGO Inspecciones simples,RIVADAVIA AV. 2034,20,58,005A,23/02/2021
DGFyC-449722,SGO Inspecciones simples,AMENABAR 1727,37,148,8,23/02/2021
DGFyC-491004,SGO Inspecciones simples,CONGRESO 1508,27,92,1,23/02/2021
DGFyC-633537,SGO Inspecciones simples,CASEROS AV. 2802,24,27,001A,23/02/2021
DGFyC-574776,SGO Est. Hoteles y Pensiones,COCHABAMBA 2267,22,33,29,23/02/2021
DGFyC-636208,SGO Fiscalización Nocturna,RODRIGUEZ PEÑA 1082,7,3,001A,19/02/2021
DGFyC-636252,SGO Est. Educativos,DESAGUADERO 3441,87,71,25,18/02/2021
DGFyC-636251,SGO Grandes Superficies,AZCUENAGA 408,9,29,024a,19/02/2021
DGFyC-634459,SGO Fiscalización Nocturna,AVENIDA LA PLATA 731,40,141,038e,15/02/2021
DGFyC-628913,SGO Fiscalización Crítica,ROOSEVELT FRANKLIN D. 1999,27,046A,14,15/02/2021
DGFyC-634479,SGO Fiscalización Nocturna,GASCON 1036,17,63,24,16/02/2021
DGFyC-611327,SGO Inspecciones simples,THAMES 2172,19,121,001B,17/02/2021
DGFyC-422455,SGO Est. Hoteles y Pensiones,PAEZ 2561,65,69,28,17/02/2021
DGFyC-633052,SGO Est. Deportivos,RECONQUISTA 335,1,44,11,17/02/2021
DGFyC-599140,SGO Fiscalización Crítica,AVENIDA LA PLATA 780,36,8,20,16/02/2021
DGFyC-535338,SGO Inspecciones simples,CERVIÑO AV. 3620,21,63,2,17/02/2021
DGFyC-323000,SGO Inspecciones simples,URUGUAY 945,7,39,19,17/02/2021
DGFyC-635154,SGO Fiscalización Nocturna,BOEDO AV. 521,36,131,44,14/02/2021
DGFyC-634414,SGO Fiscalización Nocturna,GORRITI 4295,19,27,14,16/02/2021
DGFyC-467074,SGO Inspecciones simples,HUMBOLDT 2142,35,85,26,17/02/2021
DGFyC-635306,SGO Fiscalización Nocturna,RIVADAVIA AV. 7428,48,37,5,16/02/2021
DGFyC-519729,SGO Est. Deportivos,RODRIGUEZ PEÑA 1062,7,3,024c,12/02/2021
DGFyC-534939,Auditorias Integrales Programadas,QUESADA 5286,63,118,8,12/02/2021
DGFyC-633531,SGO Suspensiones y Rechazos,BELGRANO AV. 1719,12,5,29,12/02/2021
DGFyC-635997,SGO Fiscalización Nocturna,YERBAL 5609,95,43,13,20/02/2021
DGFyC-621959,SGO Fiscalización Nocturna,PEÑA 2893,15,72,21,20/02/2021
DGFyC-635966,Auditorias Integrales Programadas,SALTA 1742,16,61,007b,17/02/2021
DGFyC-634880,SGO Inspecciones simples,CORRIENTES AV. 4446,17,32,005a,19/02/2021
DGFyC-166429,SGO Inspecciones simples,FONROUGE 47,60,014A,28,19/02/2021
DGFyC-631152,SGO Grandes Superficies,LAVALLE 3031,13,72,27,19/02/2021
DGFyC-327555,SGO Inspecciones simples,PATRON 6722,74,82,16,22/02/2021
DGFyC-623174,SGO Fiscalización Nocturna,CABILDO AV. 501,23,13,6,21/02/2021
DGFyC-636591,SGO Fiscalización Nocturna,ESTADOS UNIDOS 630,4,17,4,21/02/2021
DGFyC-636607,SGO Fiscalización Nocturna,MEXICO 2902,28,51,024A,21/02/2021
DGFyC-635928,SGO Fiscalización Nocturna,COSTA RICA 6000,35,48,12,22/02/2021
DGFyC-635415,SGO Fiscalización Nocturna,HUMBERTO 1° 699,4,16,022A,17/02/2021
DGFyC-498619,SGO Est. Deportivos,MOLDES 1930,39,75,18,17/02/2021
DGFyC-635467,SGO Est. Educativos,MURGUIONDO 1131,74,114,10,12/02/2021
DGFyC-632399,Auditorias Integrales Programadas,NEPPER 1130,44,043B,7,12/02/2021
DGFyC-627834,SGO Inspecciones simples,ACASSUSO 6370,,,,12/02/2021
DGFyC-496321,SGO Est. Educativos,MOLDES 2247,39,85,9,12/02/2021
DGFyC-489656,SGO Inspecciones simples,IBERA 1629,27,84,19,12/02/2021
DGFyC-506721,SGO Inspecciones simples,AVENIDA GARCIA DEL RIO 3090,43,114,008E,12/02/2021
DGFyC-632004,SGO Suspensiones y Rechazos,CABILDO AV. 849,23,24,19,12/02/2021
DGFyC-622913,SGO Verificaciones,REGIMIENTO DE PATRICIOS AV. 116,8,62,006C,10/02/2021
DGFyC-633815,SGO Fiscalización Nocturna,HONDURAS 5670,35,17,9,10/02/2021
DGFyC-601723,SGO Verificaciones,RIVADAVIA AV. 9377,77,013A,3,11/02/2021
DGFyC-633449,SGO Suspensiones y Rechazos,VUELTA DE OBLIGADO 2237,25,12,004a,09/02/2021
DGFyC-629548,SGO Inspecciones simples,HUBAC 4813,64,098A,20,10/02/2021
DGFyC-633965,SGO Est. Educativos,MURGUIONDO 1131,74,114,10,12/02/2021
DGFyC-600155,SGO Grandes Superficies,OLAVARRIA 1040,10,75,5,12/02/2021
DGFyC-633541,SGO Suspensiones y Rechazos,MORENO 1575,12,21,022A,12/02/2021
DGFyC-591748,SGO Inspecciones simples,IBERA 1729,27,73,28,12/02/2021
DGFyC-604188,SGO Verificaciones,INCLAN 2701,24,46,31,12/02/2021
DGFyC-633032,SGO Est. Hoteles y Pensiones,NEUQUEN 2230,65,117,6,17/02/2021
DGFyC-631957,SGO Fiscalización Crítica,LAS CASAS 4095,38,137A,29,16/02/2021
DGFyC-635395,SGO Fiscalización Nocturna,MEXICO 1176,12,51,9,16/02/2021
DGFyC-635412,SGO Fiscalización Nocturna,BALCARCE 678,2,56,9,17/02/2021
DGFyC-633714,SGO Fiscalización Crítica,TALCAHUANO 953,7,45,11,17/02/2021
DGFyC-635714,SGO Inspecciones simples,SALTA 1772,16,61,017a,17/02/2021
DGFyC-635450,SGO Fiscalización Nocturna,SOLER 3308,15,60,001C,18/02/2021
DGFyC-633389,SGO Est. Hoteles y Pensiones,JUNCAL 1264,7,48,8,18/02/2021
DGFyC-604705,SGO Est. Hoteles y Pensiones,PERGAMINO 35,54,194,33,18/02/2021
DGFyC-577196,SGO Inspecciones simples,MURGUIONDO 1627,76,163,32,09/02/2021
DGFyC-512997,SGO Est. Hoteles y Pensiones,RIVADAVIA AV. 2175,9,50,22,12/02/2021
DGFyC-634093,SGO Fiscalización Nocturna,GALLO 837,13,55,11,11/02/2021
DGFyC-585401,SGO Fiscalización Nocturna,ARMENIA 1908,19,91,022C,12/02/2021
