Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts
Redding Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS093,5,10,PS,38684786041511,"1421 PINE ST, San Francisco, CA 94109",3,06075,SAN FRANCISCO,"CA
(37.78952, -122.41925)",21,28858,13,9,10
Scandanavian School,Private,-2,-1,PK,Independent / Private,CDC134,3,4,CDC,384001418,"20 WOODSIDE AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.746582, -122.457878)",40,59,1,5,4
Wind In The Willows Early Learning Center,Private,-2,-1,PK,Independent / Private,CDC155,3,4,CDC,384000832,"713 MONTEREY BLVD, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.731258, -122.451462)",40,59,9,7,4
Telegraph Hill Parent Participation Nursery School,Private,-2,-1,PK,Independent / Private,CDC146,3,4,CDC,384002580,"922 JACKSON ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.795681, -122.410377)",4,308,3,1,10
Rocky Mountain Participation Nursery School,Private,-2,-1,PK,Independent / Private,CDC127,3,4,CDC,380504057,"2475 15TH ST, SAN FRANCISCO, CA 94114",7,06075,SAN FRANCISCO,"CA
(37.74184, -122.471603)",40,29491,1,8,4
Moldovan Academy,Private,-2,0,PK-K,Independent / Private,IND275,3,5,IND,384002294,"1270 SANCHEZ ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.748898, -122.42968)",22,28862,2,4,5
Ucsf - Parnassus-Kirkham Child Development Center,Private,-2,-1,PK,Independent / Private,CDC150,3,4,CDC,384001814,"10 KIRKHAM ST, SAN FRANCISCO, CA 94143",5,06075,SAN FRANCISCO,"CA
(37.761524, -122.461166)",12,56,15,5,11
Saint Nicholas Day Care And Preschool,Private,-2,-1,PK,Independent / Private,CDC132,3,4,CDC,380504369,"5200 DIAMOND HEIGHTS BLVD, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.744923, -122.440422)",7,63,2,7,5
International Studies Academy,SFUSD,6,12,6-12,USD Grades 6-12,PS050,11,17,PS,38684783830353,"655 DE HARO ST, SAN FRANCISCO CA 94107",10,06075,SAN FRANCISCO,"CA
(37.761704, -122.400688)",29,28856,10,3,8
Everett Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS029,11,13,PS,38684786062038,"450 CHURCH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.763577, -122.429367)",3,28862,8,4,5
My Little Learning Tree,Private,-2,-1,PK,Independent / Private,CDC111,3,4,CDC,384002056,"2118 CLEMENT ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.782394, -122.482086)",26,55,11,6,2
San Francisco Waldorf High School,Private,9,12,9-12,Independent / Private,IND322,14,17,IND,,"470 WEST PORTAL AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.736015, -122.471199)",40,29491,1,8,4
Family School,Private,-2,-1,PK,Independent / Private,CDC039,3,4,CDC,384000805,"3101 MISSION ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.747994, -122.418137)",2,28859,2,7,7
Mission Neighborhood Centers - Edificio De Mujeres / Womens Building,Private,-2,-1,PK,Independent / Private,CDC101,3,4,CDC,384000867,"3543 18TH ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.761421, -122.422615)",19,28859,2,4,5
Adda Clevenger School,Private,0,8,K-8,Independent / Private,IND200,5,13,IND,38684786930572,"198 FAIR OAKS ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.753738, -122.424461)",19,28859,2,4,5
Faces Sf Child Development Program - Hayes Valley,Private,-2,-1,PK,Independent / Private,CDC038,3,4,CDC,384002202,"305 BUCHANAN ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.772907, -122.428032)",10,28852,7,9,11
Walden Academy,Private,8,12,8-12,Independent / Private,IND335,13,17,IND,,"214 HAIGHT ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.772942, -122.426147)",10,28852,7,9,11
San Francisco Expeditionary School,Private,3,8,3-8,Independent / Private,IND315,8,13,IND,38684786147037,"2960 BROADWAY ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.793186, -122.445892)",27,57,13,9,1
Little Childrens Developmental Center,Private,-2,-1,PK,Independent / Private,CDC076,3,4,CDC,384000818,"1223 WEBSTER ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.781956, -122.431045)",41,29490,15,9,11
Montessori Childrens Center,Private,-2,-1,PK,Independent / Private,CDC107,3,4,CDC,384001313,"80 JUAN BAUTISTA CIR, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.718266, -122.480911)",14,64,1,8,4
"Carmichael, Bessie Carmichael K-5 Campus / Early Education",SFUSD,0,8,K-8,USD Grades K-8,PS013,5,13,PS,384001456,"375 07TH ST, San Francisco, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.776382, -122.406456)",34,28853,14,2,9
Holy Family Day Home,Private,-2,-1,PK,Independent / Private,CDC054,3,4,CDC,380500308,"299 DOLORES ST, SAN FRANCISCO, CA 94103",8,06075,SAN FRANCISCO,"CA
(37.764992, -122.425796)",19,28853,8,4,5
Saint Gabriel Catholic School,Private,0,8,K-8,Independent / Private,IND295,5,13,IND,38684786981765,"2550 41ST AVE, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.739563, -122.498634)",35,29491,1,8,3
"Lincoln, Abraham Lincoln High School",SFUSD,9,12,9-12,USD Grades 9-12,PS067,14,17,PS,38684783833241,"2162 24TH AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.746594, -122.48024)",35,29491,1,8,3
Love And Learn Nursery School,Private,-2,-1,PK,Independent / Private,CDC084,3,4,CDC,380503540,"1419 HOWARD ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.77335, -122.414795)",34,28853,8,2,9
"Havard, Leola M. Havard Early Education School",SFUSD,-2,5,PK-5,USD PreK/TK-5,PS044,3,10,PS,38684780117564,"1520 OAKDALE AVE, SAN FRANCISCO CA 94124",10,06075,SAN FRANCISCO,"CA
(37.734085, -122.388588)",1,58,10,3,8
City College of San Francisco Fort Mason Site,SFCCD,13,14,13-14,Community College District,CC05,18,19,CC,,"2 MARINA BLVD, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.80677, -122.431824)",17,28858,13,9,1
Chinatown Community Childrens Center,Private,-2,-1,PK,Independent / Private,CDC013,3,4,CDC,380505035,"979 CLAY ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.79361, -122.409103)",4,28857,3,1,10
Balboa Preschool,Private,-2,0,PK-K,Independent / Private,IND213,3,5,IND,380505671,"527 BALBOA ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.776932, -122.464477)",11,54,11,6,2
Marina Childrens Center,Private,-2,-1,PK,Independent / Private,CDC093,3,4,CDC,384000897,"3219 LAGUNA ST, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.800774, -122.431488)",17,57,13,9,1
"Rodriguez, Zaida T. Rodriguez Early Education School",SFUSD,-2,0,PK-TK,USD PreK/TK,PS095,3,5,PS,380504356,"421 BARTLETT ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.749821, -122.418556)",19,28859,2,4,7
Kai Ming Head Start - Geary Center,Private,-2,-1,PK,Independent / Private,CDC060,3,4,CDC,384001291,"6221 GEARY BLVD, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.77972, -122.486191)",26,55,11,6,2
"King, Dr. Martin Luther King Jr. Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS055,11,13,PS,38684786059885,"350 GIRARD ST, San Francisco, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.727741, -122.405807)",28,309,10,3,7
San Francisco Christian School,Private,0,12,K-12,Independent / Private,IND312,5,17,IND,38684786980692,"25 WHITTIER ST, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.710037, -122.447754)",5,28861,9,7,6
Cross Cultural Family Center - Bertha E Flemming Center,Private,-2,-1,PK,Independent / Private,CDC022,3,4,CDC,380504073,"1901 OFARRELL ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.782711, -122.436233)",41,29490,15,5,11
Little Bear School,Private,-2,-1,PK,Independent / Private,CDC075,3,4,CDC,384001397,"65 OCEAN AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.723179, -122.438095)",25,28861,9,7,6
Everyday Magic Child Development Center,Private,-2,-1,PK,Independent / Private,CDC036,3,4,CDC,380506320,"220 MIDDLEFIELD DR, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.730572, -122.485817)",14,64,1,8,4
Alta Vista School,Private,0,5,K-5,Independent / Private,IND209,5,10,IND,38684786140099,"413 SOMERSET ST, SAN FRANCISCO, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.726391, -122.407196)",28,309,10,3,7
Golden Bridges School,Private,-2,0,PK-K,Independent / Private,IND246,3,5,IND,38684786145635,"3358 22ND ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.755467, -122.42231)",19,28859,2,4,5
Creative Arts Charter School,SFUSD,0,8,K-8,USD Charter School,PS023,5,13,PS,38684786112601,"1601 TURK ST, San Francisco, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.779804, -122.436073)",41,29490,15,5,11
Laurel Hill Nursery School,Private,-2,-1,PK,Independent / Private,CDC072,3,4,CDC,380504783,"401 EUCLID AVE, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.783798, -122.452728)",31,54,15,6,1
Phoebe A Hearst Learning Center,Private,-2,-1,PK,Independent / Private,CDC122,3,4,CDC,380500512,"1315 ELLIS ST, SAN FRANCISCO, CA 94114",5,06075,SAN FRANCISCO,"CA
(37.782681, -122.427948)",41,29490,7,9,11
Marin Day School - Market Street,Private,-4,-2,INF,Independent / Private,CDC090,1,3,CDC,384001297,"1390 MARKET ST, STE 108, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.777226, -122.417358)",36,28852,7,9,9
Treasure Island Child Development Center,Private,-2,-1,PK,Independent / Private,CDC147,3,4,CDC,384002011,"850 AVE D, SAN FRANCISCO, CA 94130",6,06075,SAN FRANCISCO,"CA
(37.825985, -122.372505)",37,62,,2,9
Saint Anthony - Immaculate Conception School,Private,0,8,K-8,Independent / Private,IND289,5,13,IND,38684786981666,"295 PRECITA AVE, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.747536, -122.414223)",2,28859,2,7,7
Starlight Christian Preschool 2,Private,-2,-1,PK,Independent / Private,CDC139,3,4,CDC,384001536,"3155 VICENTE ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.738022, -122.500977)",35,29491,1,8,3
"Webster, Daniel Webster Elementary School",SFUSD,6,12,6-12,USD Grades 6-12,PS122,11,17,PS,38684786040893,"655 DE HARO ST, SAN FRANCISCO CA 94107",10,06075,SAN FRANCISCO,"CA
(37.762009, -122.400772)",29,28856,10,3,8
Oakes Childrens Center,Private,0,8,K-8,Independent / Private,IND279,5,13,IND,38684786981534,"1550 TREAT AVE, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.74593, -122.412697)",2,28859,2,7,7
Sunset Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC141,3,4,CDC,384002119,"4245 LAWTON ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.756386, -122.508499)",35,56,1,8,3
Laurel School,Private,0,8,K-8,Independent / Private,IND262,5,13,IND,,"350 09TH AVE, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.781941, -122.467331)",11,54,11,6,2
Wu Yee Child Development Center - Westside,Private,-2,-1,PK,Independent / Private,CDC167,3,4,CDC,384002531,"2400 POST ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.784466, -122.442268)",13,29490,15,6,11
De Marillac Academy,Private,4,8,4-8,Independent / Private,IND235,9,13,IND,38684787104466,"175 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.781658, -122.413345)",36,28852,7,10,9
San Francisco Waldorf School,Private,-2,8,PK-8,Independent / Private,IND323,3,13,IND,38684786907927,"2938 WASHINGTON ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.790783, -122.44191)",27,29490,13,6,1
Ecole Notre Dame Des Victoires,Private,0,8,K-8,Independent / Private,IND238,5,13,IND,38684786981500,"659 PINE ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.791115, -122.406464)",6,28857,5,1,10
Grattan Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-4, Grades K-5",PS041,3,10,PS,38684786041115,"165 GRATTAN ST, San Francisco, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.763493, -122.450424)",9,29492,15,5,11
"Hoover, Herbert Hoover Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS048,11,13,PS,38684786059851,"2290 14TH AVE, San Francisco, CA 94116",7,06075,SAN FRANCISCO,"CA
(37.745556, -122.468964)",40,29491,1,8,4
Chibi Chan Preschool,Private,-2,-1,PK,Independent / Private,CDC012,3,4,CDC,384000923,"2012 PINE ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.788784, -122.429291)",27,29490,13,9,11
Presidio Hill School,Private,-2,8,PK-8,Independent / Private,IND283,3,13,IND,38684786205652,"3839 WASHINGTON ST, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.788582, -122.456062)",31,54,11,6,1
Hearing & Speech Center Of Northern California,Private,-2,0,PK-K,Independent / Private,IND248,3,5,IND,38684786980700,"1234 DIVISADERO ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.781174, -122.438728)",41,29490,15,5,11
Starlight Christian Preschool 1,Private,-2,-1,PK,Independent / Private,CDC138,3,4,CDC,384001339,"750 26TH AVE, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.775311, -122.484924)",26,55,11,6,2
Mission Neighborhood Centers - Valencia Gardens,Private,-2,-1,PK,Independent / Private,CDC106,3,4,CDC,384001634,"380 VALENCIA ST, SAN FRANCISCO, CA 94103",8,06075,SAN FRANCISCO,"CA
(37.767098, -122.423202)",19,28853,8,4,5
Lakeshore Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS059,5,10,PS,38684786041321,"220 MIDDLEFIELD DR, San Francisco, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.730324, -122.48542)",14,64,1,8,4
Life Learning Academy Charter School,SFUSD,9,12,9-12,USD Charter School,PS064,14,17,PS,38684783830429,"651 8TH TI ST, SAN FRANCISCO, CA 94130",6,06075,SAN FRANCISCO,"CA
(37.825512, -122.367996)",37,62,,2,9
German International School Of Silicon Valley - San Francisco Campus,Private,0,8,K-8,Independent / Private,IND245,5,13,IND,38684786148308,"4 FUNSTION AVE, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.800007, -122.455566)",30,61,11,,1
Marina Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS071,11,13,PS,38684786062061,"3500 FILLMORE ST, San Francisco, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.801827, -122.435478)",17,57,13,9,1
San Francisco Schoolhouse (Congregation Beth Shalom),Private,0,8,K-8,Independent / Private,IND320,5,13,IND,384000303,"301 14TH AVE, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.782391, -122.473167)",26,54,11,6,2
San Francisco City Academy,Private,0,8,K-8,Independent / Private,IND313,5,13,IND,38684787095755,"230 JONES ST, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.783505, -122.412201)",36,28852,14,10,9
Saint Brendan School,Private,0,8,K-8,Independent / Private,IND290,5,13,IND,38684786981674,"940 LAGUNA HONDA BLVD, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.742855, -122.455925)",40,59,1,8,4
Saint Finn Barr Catholic School,Private,0,8,K-8,Independent / Private,IND294,5,13,IND,38684786981740,"419 HEARST AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.730446, -122.447411)",40,28861,9,7,4
Wu Yee Child Development Center - Lok Yuen,Private,-2,-1,PK,Independent / Private,CDC162,3,4,CDC,384000493,"930 STOCKTON ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.794365, -122.407791)",4,28857,3,1,10
Kai Ming Head Start - Battery Center,Private,-2,-1,PK,Independent / Private,CDC059,3,4,CDC,384001838,"820 BATTERY ST, SAN FRANCISCO, CA 94111",3,06075,SAN FRANCISCO,"CA
(37.798973, -122.400581)",6,28860,3,1,10
City College of San Francisco Southeast Center,SFCCD,13,14,13-14,Community College District,CC10,18,19,CC,,"1800 OAKDALE AVE, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.737148, -122.394096)",1,58,10,3,8
Saint Marys School,Private,0,8,K-8,Independent / Private,IND300,5,13,IND,38684786981997,"838 KEARNY STREET, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.795944, -122.404907)",4,28857,3,1,10
Rainbow Montessori Of San Francisco,Private,-2,-1,PK,Independent / Private,CDC126,3,4,CDC,380505779,"2354 24TH AVE, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.743538, -122.480759)",35,29491,1,8,3
Sand Paths Academy,Private,8,12,8-12,Independent / Private,IND324,13,17,IND,38684786987101,"1218 S VAN NESS AVE, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.753468, -122.416717)",19,28859,2,4,7
Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",19,28859,2,4,7
Lycee Francais De San Francisco,Private,-2,5,PK-5,Independent / Private,IND270,3,10,IND,38684786146369,"755 ASHBURY ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.767971, -122.446968)",9,29492,15,5,11
Clarendon Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS020,5,10,PS,38684786040828,"500 CLARENDON AVE, San Francisco, CA 94131",7,06075,SAN FRANCISCO,"CA
(37.753754, -122.456268)",12,63,1,5,4
Lycee Francais De San Francisco,Private,6,12,6-12,Independent / Private,IND269,11,17,IND,38684786939664,"1201 ORTEGA ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.751988, -122.476829)",35,29491,1,8,3
Katherine Delmar Burke School,Private,0,8,K-8,Independent / Private,IND255,5,13,IND,38684786981328,"7070 CALIFORNIA ST, SAN FRANCISCO, CA 94121",2,06075,SAN FRANCISCO,"CA
(37.784283, -122.493324)",33,55,11,6,1
Marin Day School - San Francisco City Hall,Private,-2,-1,PK,Independent / Private,CDC091,3,4,CDC,384001292,"1 DR CARLTON B GOODLETT PL, RM 68, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.779324, -122.418816)",36,28852,7,9,9
"Mccoppin, Frank Mccoppin Elementary / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS074,5,10,PS,38684786041016,"651 06TH AVE, San Francisco, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.77631, -122.464477)",11,54,11,6,2
Gateway High School / Kipp Sf Bay Academy,SFUSD,9,12,9-12,USD Charter School,PS037,14,17,PS,38684783830437,"1430 SCOTT ST, San Francisco, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.783264, -122.436691)",41,29490,13,5,11
Galileo High School,SFUSD,9,12,9-12,USD Grades 9-12,PS035,14,17,PS,38684783831765,"1150 FRANCISCO ST, San Francisco, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.803791, -122.424149)",32,28858,5,9,1
Kangaroos Preschool,Private,-2,0,PK-K,Independent / Private,IND254,3,5,IND,384002312,"298 MONTEREY BLVD, SAN FRANCISCO, CA 94131",7,06075,SAN FRANCISCO,"CA
(37.731812, -122.441833)",40,63,9,7,4
Glide Family Youth And Childcare Center,Private,-2,-1,PK,Independent / Private,CDC045,3,4,CDC,384000531,"330 ELLIS ST, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.78529, -122.411697)",36,28852,14,10,9
Jefferson Early Education School,SFUSD,-2,-1,PK,USD PreK,CDC055,3,4,CDC,380504419,"1350 25TH AVE, San Francisco, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.76236, -122.483162)",35,56,1,8,3
Noe Valley Nursery School,Private,-2,-1,PK,Independent / Private,CDC115,3,4,CDC,384002096,"5210 DIAMOND HEIGHTS BLVD, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.743469, -122.440552)",7,63,2,7,5
Ucsf - University Child Care Center - Laurel Heights,Private,-2,-1,PK,Independent / Private,CDC151,3,4,CDC,384001301,"3333 CALIFORNIA ST STE 220, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.786099, -122.448387)",31,54,15,6,1
Montessori Childrens House Of The West Coast,Private,-2,-1,PK,Independent / Private,CDC108,3,4,CDC,380503970,"25 LAKE ST, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.786671, -122.459686)",11,54,11,6,1
Five Keys Charter,SFUSD,8,12,8-12,USD Charter School,PS032,13,17,PS,38684780101774,"70 OAK GROVE ST, San Francisco, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.777107, -122.402229)",34,28856,14,2,9
Little Sunshine Childcare,Private,-2,-1,PK,Independent / Private,CDC081,3,4,CDC,,"308 JULES AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.7239, -122.46096)",24,28861,9,8,4
Saint Pauls Littlest Angel Preparatory,Private,-2,0,PK-K,Independent / Private,IND302,3,5,IND,380506430,"221 VALLEY ST STE X, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.74419, -122.427742)",22,63,2,7,5
City College of San Francisco Mission Center,SFCCD,13,14,13-14,Community College District,CC08,18,19,CC,,"1125 VALENCIA ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.754791, -122.420616)",19,28859,2,4,7
Economic Opportunity Council Sf - Oscaryne Williams Center Of Hope,Private,-2,-1,PK,Independent / Private,CDC031,3,4,CDC,380506485,"65 TURNER TER, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.755798, -122.394974)",29,28856,10,3,8
Alt School - Fort Mason,Private,0,8,K-8,Independent / Private,IND204,5,13,IND,38684786146773,"3741 BUCHANAN ST, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.804562, -122.433907)",17,57,13,9,1
"Sloat, Commodore Sloat Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS107,5,10,PS,38684786040851,"50 DARIEN WAY, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.731258, -122.470482)",40,59,9,8,4
Ark Christian Preschool,Private,-2,-1,PK,Independent / Private,CDC006,3,4,CDC,380504714,"3141 VICENTE ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.73803, -122.500786)",35,29491,1,8,3
Economic Opportunity Council Sf - Rainbow Preschool,Private,-2,-1,PK,Independent / Private,CDC032,3,4,CDC,380505485,"795 PACIFIC AVE, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.796528, -122.407638)",4,308,3,1,10
Laguna Golden Gate Child Care Center,SFUSD,-2,-1,PK,USD PreK,CDC070,3,4,CDC,,"1025 LAGUNA ST, SAN FRANCISCO CA 94115",5,06075,SAN FRANCISCO,"CA
(37.780636, -122.42733)",41,29490,7,9,11
Playmates Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC123,3,4,CDC,380504052,"2342 42ND AVE, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.743015, -122.500076)",35,29491,1,8,3
Miraloma Cooperative Nursery School,Private,-2,-1,PK,Independent / Private,CDC096,3,4,CDC,380505313,"443 FOERSTER ST, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.732193, -122.449142)",40,59,9,7,4
Jewish Community Center San Francisco - Helen Diller Family Preschool,Private,-2,-1,PK,Independent / Private,CDC057,3,4,CDC,384001263,"3200 CALIFORNIA ST, SAN FRANCISCO, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.787365, -122.44722)",31,54,13,6,1
Saint Stephen School,Private,0,8,K-8,Independent / Private,IND306,5,13,IND,38684786980643,"473 EUCALYPTUS DR, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.730911, -122.477684)",14,64,1,8,4
Peters Place Nursery School,Private,-2,-1,PK,Independent / Private,CDC121,3,4,CDC,384000741,"227 BALBOA ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.777092, -122.461357)",11,54,11,6,2
Wu Yee Child Development Center - Chinatown Little Sprouts,Private,-2,-1,PK,Independent / Private,CDC158,3,4,CDC,384000804,"831 BROADWAY ST, SAN FRANCISCO, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.797012, -122.410713)",4,308,3,1,10
"Milk, Harvey Milk Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS077,5,10,PS,38684786040919,"4235 19TH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.758926, -122.436447)",3,28862,2,4,5
Balboa High School,SFUSD,9,12,9-12,USD Grades 9-12,PS007,14,17,PS,38684783830288,"1000 CAYUGA AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.721142, -122.441399)",25,28861,9,7,6
Urban School Of San Francisco,Private,9,12,9-12,Independent / Private,IND333,14,17,IND,38684786938930,"1563 PAGE ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.770832, -122.44635)",9,29492,15,5,11
Mission Neighborhood Centers - Stevenson,Private,-2,-1,PK,Independent / Private,CDC105,3,4,CDC,384000731,"1320 STEVENSON ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.771469, -122.421883)",19,28853,8,2,9
"Serra, Junipero Serra Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS104,5,10,PS,38684786041289,"625 HOLLY PARK CIR, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.736912, -122.421486)",2,28859,2,7,7
Kids By The Bay Preschool,Private,-3,0,PK-K,Independent / Private,IND257,2,5,IND,384001720,"90 7TH ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.779549, -122.412102)",34,28853,8,2,9
